Timestamp,"On a scale of 0 to 10, how likely would you recommend Netflix? ",What best completes this sentence for you?: I am a …,What is your Gender?,Which of the following best describes you?,Do you have your own account on Netflix?,Which subscription plan do you use?,How many people share your account? ,How many times during a given month do you use Netflix?,How often do you use Netflix at night?,How often do you use earphones when watching Netflix?,"Between TV shows and movies, which do you watch more on Netflix?",Which category do you watch most on Netflix? Please select up to 3 choices.,How satisfied are you with the variety of content on Netflix?,How much do you agree with the following statement? : I prefer to watch Netflix in a quiet environment. ,How much do you agree with the following statement?: I prefer to watch Netflix with other people.,How likely are you to use Netflix over other streaming services?
4/28/2021 0:34:30,9,Second year college student,Male,African/African American,"No, I do not",Standard,More than 4,Over 5 times a week,2,2,TV shows,"Action, Comedies, Thriller",4,Strongly agree,Disagree,4
4/28/2021 0:37:12,9,Second year college student,Male,Hispanic/Latino,"No, I do not",Basic,More than 4,1 time a week,2,5,TV shows,"Dramas, Romance, Thriller",4,Agree,Strongly agree,4
4/28/2021 0:37:28,7,Second year college student,Male,Caucasian,"Yes, I do",Basic,2,Less than 4 times a month,3,2,Movies,"Action, Comedies, Sci-fi & fantasy",4,Agree,Strongly agree,4
4/28/2021 0:59:04,8,Second year college student,Female,African/African American,"Yes, I do",Basic,4,Less than 4 times a month,1,4,Movies,"Dramas, Sci-fi & fantasy, Thriller",3,Strongly agree,Neither agree nor disagree,2
4/28/2021 2:15:33,7,Second year college student,Female,African/African American,"No, I do not",Premium,4,2-5 times a week,3,4,TV shows,"Dramas, Romance, K-dramas",1,Neither agree nor disagree,Neither agree nor disagree,1
4/28/2021 4:13:46,8,Second year college student,Female,African/African American,"Yes, I do",Basic,4,Less than 4 times a month,1,4,Movies,"Dramas, Sci-fi & fantasy, Thriller",3,Strongly agree,Neither agree nor disagree,2
4/28/2021 19:16:53,10,First year college student,Male,Asian,"Yes, I do",Premium,0,2-5 times a week,4,3,TV shows,"Action, Comedies, Horror",5,Strongly agree,Neither agree nor disagree,5
4/28/2021 19:17:16,9,First year college student,Female,Asian,"Yes, I do",Standard,4,2-5 times a week,4,2,TV shows,"Comedies, Dramas, K-dramas",4,Agree,Neither agree nor disagree,5
4/28/2021 20:00:26,10,First year college student,Female,Asian,"Yes, I do",Premium,0,2-5 times a week,4,2,TV shows,"Comedies, Dramas, K-dramas",5,Strongly agree,Strongly disagree,5
4/28/2021 21:12:54,10,Graduate student,Male,Asian,"Yes, I do",Premium,More than 4,Over 5 times a week,4,2,TV shows,"Action, Sci-fi & fantasy, Anime",4,Strongly agree,Agree,5
4/29/2021 4:16:49,7,Second year college student,Female,African/African American,"No, I do not",,More than 4,1 time a week,3,1,Movies,"Comedies, Crime, Dramas",,Strongly agree,Strongly agree,3
4/29/2021 4:26:13,9,Second year college student,Male,Caucasian,"No, I do not",Standard,More than 4,2-5 times a week,4,5,TV shows,"Action, Sci-fi & fantasy, Adventure",4,Strongly agree,Agree,4
4/29/2021 9:03:28,8,Graduate student,Female,Asian,"Yes, I do",Premium,More than 4,1 time a week,4,2,Movies,"Action, Crime, Dramas",3,Agree,Neither agree nor disagree,3
4/29/2021 15:19:12,6,Second year college student,Prefer not to say,African/African American,"No, I do not",Basic,2,,4,2,Movies,"Horror, Romance, K-dramas",5,Strongly agree,Disagree,4
4/29/2021 20:01:31,10,Second year college student,Male,Asian,"No, I do not",Standard,4,Less than 4 times a month,2,1,TV shows,"Action, Horror, Thriller",5,Strongly agree,Neither agree nor disagree,5
4/29/2021 20:04:24,9,First year college student,Female,Asian,"Yes, I do",Premium,4,2-5 times a week,4,5,TV shows,"Action, Crime, K-dramas",4,Strongly agree,Disagree,4
4/29/2021 20:05:22,8,Parent of a student,Male,Asian,"Yes, I do",Premium,4,2-5 times a week,5,2,Movies,"Action, Comedies, Crime",3,Agree,Agree,4
4/29/2021 21:07:24,9,Employee,Female,Asian,"Yes, I do",Premium,,Over 5 times a week,5,2,TV shows,"Action, Comedies, Sci-fi & fantasy",4,Strongly agree,Neither agree nor disagree,4
4/29/2021 22:00:23,8,First year college student,Female,Asian,"Yes, I do",Premium,3,Over 5 times a week,5,3,TV shows,"Action, Comedies, Crime",4,Strongly agree,Strongly disagree,5
4/29/2021 22:15:54,8,,Female,Asian,"Yes, I do",Premium,4,1 time a week,2,5,Movies,"Action, Dramas, Romance",3,Agree,Neither agree nor disagree,3
4/29/2021 22:21:06,3,First year college student,Male,Asian,"Yes, I do",Basic,More than 4,Less than 4 times a month,2,3,Movies,"Action, Comedies, Crime",2,Neither agree nor disagree,Strongly disagree,1
4/29/2021 22:25:13,8,First year college student,Female,Asian,"No, I do not",,3,1 time a week,4,3,TV shows,"Comedies, Dramas, Romance",4,Neither agree nor disagree,Agree,3
